title,creator,subjects,publisher,publicationyear,checkoutmonth,checkoutyear,checkouts,materialtype,usageclass,checkouttype
FlexTech--Laptops.,,"Laptop computers, iPad Computer, Tablet computers",Lenovo,2013,10,2018,883,MIXED,Physical,Horizon
FlexTech--Laptops.,,"Laptop computers, iPad Computer, Tablet computers",Lenovo,2013,8,2018,870,MIXED,Physical,Horizon
FlexTech--Laptops.,,"Laptop computers, iPad Computer, Tablet computers",Lenovo,2013,9,2018,811,MIXED,Physical,Horizon
In Building Device Checkout,,"Laptop computers, iPad Computer, Tablet computers",Lenovo,2013,5,2018,901,MIXED,Physical,Horizon
FlexTech--Laptops.,,"Laptop computers, iPad Computer, Tablet computers",Lenovo,2013,6,2018,897,MIXED,Physical,Horizon
FlexTech--Laptops.,,"Laptop computers, iPad Computer, Tablet computers",Lenovo,2013,7,2018,841,MIXED,Physical,Horizon
In Building Device Checkout,,"Laptop computers, iPad Computer, Tablet computers",Lenovo,2013,4,2018,734,MIXED,Physical,Horizon
In Building Device Checkout,,"Laptop computers, iPad Computer, Tablet computers",Lenovo,2013,3,2018,840,MIXED,Physical,Horizon
In Building Device Checkout,,"Laptop computers, iPad Computer, Tablet computers",Lenovo,2013,1,2018,872,MIXED,Physical,Horizon
In Building Device Checkout,,"Laptop computers, iPad Computer, Tablet computers",Lenovo,2013,2,2018,862,MIXED,Physical,Horizon
In Building Device Checkout,,"Laptop computers, iPad Computer, Tablet computers",Lenovo,2013,12,2017,859,MIXED,Physical,Horizon
Fear : Trump in the White House / Bob Woodward.,"Woodward, Bob","Trump Donald 1946, United States Politics and government 2017, Presidents United States Biography, Presidents United States, United States Politics and government 21st century",Simon & Schuster,2018,10,2018,847,BOOK,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by T-Mobile].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers",T-Mobile,,8,2018,813,MIXED,Physical,Horizon
Two kinds of truth / Michael Connelly.,"Connelly, Michael","Bosch Harry Fiction, Detective and mystery fiction, Thrillers Fiction","Little, Brown and Company",2017,11,2017,810,BOOK,Physical,Horizon
In Building Device Checkout,,"Laptop computers, iPad Computer, Tablet computers",Lenovo,2013,11,2017,783,MIXED,Physical,Horizon
The midnight line / Lee Child.,"Child, Lee","Reacher Jack Fictitious character Fiction, Murder Investigation Fiction, Thrillers Fiction, Detective and mystery fiction",Delacorte Press,2017,11,2017,782,BOOK,Physical,Horizon
The midnight line / Lee Child.,"Child, Lee","Reacher Jack Fictitious character Fiction, Murder Investigation Fiction, Thrillers Fiction, Detective and mystery fiction",Delacorte Press,2017,12,2017,778,BOOK,Physical,Horizon
Manhattan Beach : a novel / Jennifer Egan.,"Egan, Jennifer","Young women New York State New York Fiction, World War 1939 1945 United States Fiction, Domestic fiction, Historical fiction, Thrillers Fiction",Scribner,2017,12,2017,777,BOOK,Physical,Horizon
Turtles all the way down / John Green.,"Green, John, 1977-","Teenage girls Juvenile fiction, Obsessive compulsive disorder Juvenile fiction, Anxiety disorders Juvenile fiction, Friendship Juvenile fiction, Missing persons Juvenile fiction, Young adult fiction","Dutton Books,",2017,12,2017,777,REGPRINT,Physical,Horizon
Artemis : a novel / Andy Weir.,"Weir, Andy","Moon Fiction, Smuggling Fiction, Conspiracies Fiction, Science fiction",Crown Publishers,2017,12,2017,776,BOOK,Physical,Horizon
Fire and fury : inside the Trump White House / Michael Wolff.,"Wolff, Michael","Trump Donald 1946, Bannon Stephen K, Presidents United States, United States Politics and government 2009 2017, United States Politics and government 2017",Henry Holt and Company,2018,3,2018,766,BOOK,Physical,Horizon
In Building Device Checkout,,"Laptop computers, iPad Computer, Tablet computers",Lenovo,2013,10,2017,763,MIXED,Physical,Horizon
The Rooster Bar / John Grisham.,"Grisham, John","Student loans Fiction, Law schools Corrupt practices Fiction, Law schools Fiction, Legal fiction Literature, Thrillers Fiction",Doubleday,2017,12,2017,763,BOOK,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by T-Mobile].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers",T-Mobile,,7,2018,747,MIXED,Physical,Horizon
The whole30 fast & easy : 150 simply delicious everday recipes for your Whole30 / Melissa Hartwig ; photography by Ghazalle Badiozamani.,"Hartwig, Melissa","Diet therapy Popular works, Nutrition Popular works, Food habits Popular works, Self care Health Popular works, Weight loss Popular works, Reducing diets Recipes, Cookbooks",Houghton Mifflin Harcourt,2017,12,2017,742,BOOK,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by T-Mobile].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers",T-Mobile,,9,2018,728,MIXED,Physical,Horizon
Manhattan Beach : a novel / Jennifer Egan.,"Egan, Jennifer","Young women New York State New York Fiction, World War 1939 1945 United States Fiction, Domestic fiction, Historical fiction, Thrillers Fiction",Scribner,2017,11,2017,714,BOOK,Physical,Horizon
Smitten kitchen every day : triumphant and unfussy new favorites / Deb Perelman.,"Perelman, Deb","Cooking, Cookbooks",Alfred A. Knopf,2017,12,2017,713,BOOK,Physical,Horizon
Two kinds of truth / Michael Connelly.,"Connelly, Michael","Bosch Harry Fiction, Detective and mystery fiction, Thrillers Fiction","Little, Brown and Company",2017,12,2017,710,BOOK,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by T-Mobile].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers",T-Mobile,,10,2018,698,MIXED,Physical,Horizon
